Number of nodes: 15
Number of edges: 24
Number of CESs: 11
Number of events: 51
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount
7	select deposit, enter deposit amount, put money
3	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
2	put money, get balance, select withdraw
2	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
4	select withdraw, enter withdraw amount, take money
2	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
1	request an interest rate, confirm interest rate approved, enter days left
1	confirm interest rate approved, enter days left, get estimated interest for days left
0	Number of uncovered edges 
